TL|U|2|5|0|3|0.5|1.468|1.486|0.726|38
TL|U|22|1|0|1|0.3|1.463|1.487|0.438|2
TL|U|2|2|0|2|0.5|1.473|1.487|0.355|23
TL|U|23|2|0|1|0.3|-1.047|0.794|1.026|6
TL|U|16|3|0|2|0.5|1.458|1.476|0.108|4
TL|U|16|4|0|1|0.3|-1.032|0.341|1.014|5
TL|U|4|5|0|2|0.5|-1.033|0.422|1.016|9
RL|S|17|5|0|1|0.3|4.141|4.151|0.762|107
TL|U|0|2|0|1|0.3|1.484|1.492|0.191|34
TL|U|22|3|0|1|0.3|1.471|1.486|0.84|11
TL|U|5|4|0|1|0.3|1.459|1.478|0.565|9
TL|U|22|4|0|1|0.3|-1.047|0.033|1.025|3
TL|U|0|5|0|2|0.5|-1.027|1.366|1.013|20
TL|U|19|5|0|1|0.3|1.836|1.848|0.012|4
RL|S|17|6|0|2|0.5|4.873|4.88|0.38|83
TL|U|22|2|0|1|0.3|-1.032|1.012|1.017|11
RS|S|5|4|0|0|0.3|-1.03|0.915|1.015|4
RS|S|6|4|0|2|0.5|9.471|9.487|0.082|15
TS|D|19|5|0|2|0.5|-1.021|0.782|1.009|17
TS|D|6|6|0|2|0.5|1.484|1.492|0.574|19
RS|S|16|6|0|1|0.3|8.271|8.295|0.695|27
TS|D|1|2|0|1|0.3|1.471|1.486|0.045|2
TS|D|4|2|0|2|0.5|-1.016|0.14|1.006|4
RS|S|19|5|0|1|0.3|-1.052|0.324|1.033|9
RS|S|6|2|0|1|0.3|-1.062|0.508|1.029|2
TS|D|5|3|0|2|0.5|-1.032|0.542|1.016|3
RS|S|16|4|0|1|0.3|-1.047|3.359|1.017|52
TL|U|18|2|0|3|0.5|1.469|1.484|0.648|22
TL|U|3|3|0|1|0.3|-1.057|0.799|1.028|7
TL|U|4|5|0|1|0.3|1.449|1.477|0.903|11
TL|U|2|6|0|2|0.5|-1.032|1.321|1.017|16
RL|S|4|3|0|1|0.3|-1.023|0.435|1.011|12
TS|D|1|4|0|3|0.5|-1.027|0.733|1.011|5
RL|S|16|4|0|0|0.3|-1.051|0.482|1.03|1
TS|D|6|6|0|0|0.3|-1.028|0.585|1.016|10
TS|D|20|6|0|2|0.5|1.474|1.486|0.471|21
TS|D|3|2|0|2|0.5|1.464|1.483|0.503|6
RS|S|17|2|0|1|0.3|-1.033|0.354|1.015|5
RS|S|21|2|0|1|0.3|-0.878|1.086|0.856|3
RS|S|0|3|0|1|0.3|-1.036|1.24|1.018|9
TL|U|11|4|1|1|0.6|-1.032|0.172|1.016|3
TL|U|17|6|0|1|0.3|1.468|1.491|0.155|3
TL|U|0|4|0|2|0.5|-1.036|1.455|1.021|39
TL|U|17|4|0|3|0.5|-1.034|0.329|1.019|6
TL|U|5|2|0|2|0.5|-1.034|0.299|1.019|19
TL|U|5|6|0|2|0.5|1.463|1.482|0.174|9
TL|U|0|2|0|0|0.3|1.45|1.476|0.453|4
RL|S|16|2|0|2|0.5|-1.031|1.517|1.017|37
TL|U|1|4|0|2|0.5|1.464|1.483|0.644|15
TL|U|0|2|0|2|0.5|1.471|1.489|0.1|5
TL|U|6|6|0|0|0.3|-1.033|0.395|1.017|18
RL|S|6|2|0|1|0.3|-1.044|0.18|1.018|0
RS|S|4|3|0|0|0.3|-1.053|0.986|1.028|2
RL|S|21|3|0|1|0.3|-1.311|0.536|1.289|2
RL|S|23|3|0|1|0.3|-1.016|2.124|1.004|23
RS|S|4|6|0|1|0.3|-1.052|0.472|1.026|14
TL|U|3|3|0|1|0.3|-1.041|1.244|1.019|10
TL|U|6|3|0|1|0.3|1.46|1.486|0.574|7
TL|U|18|3|0|1|0.3|-1.057|0.399|1.027|0
TL|U|16|4|0|1|0.3|-1.034|0.975|1.015|7
TL|U|23|4|0|1|0.3|-1.016|0.609|0.989|3
RL|S|3|5|0|0|0.3|-1.05|5.148|1.024|139
TL|U|5|2|0|1|0.3|-1.05|1.058|1.026|18
TL|U|23|3|0|1|0.3|1.472|1.487|0.269|5
TL|U|5|5|0|1|0.3|1.484|1.492|0.431|38
TL|U|13|6|1|1|0.6|1.474|1.486|0.415|7
TL|U|1|3|0|1|0.3|-1.018|1.271|1.009|52
TL|U|17|3|0|3|0.5|1.523|1.536|0.737|10
TL|U|5|4|0|1|0.3|1.473|1.485|0.172|8
TL|U|16|4|0|2|0.5|-1.031|0.507|1.017|2
TL|U|18|4|0|2|0.5|1.466|1.48|0.097|0
TL|U|20|4|0|2|0.5|1.481|1.491|0.308|1
TL|U|4|5|0|2|0.5|-1.002|0.146|0.994|2
TL|U|6|5|0|2|0.5|-1.011|0.302|1.005|4
TL|U|20|5|0|3|0.5|-1.005|0.706|1.003|12
RL|S|17|6|0|0|0.3|-1.008|0|1.004|0
RL|S|18|6|0|1|0.3|-1.004|1.41|1.002|21
RL|S|6|2|0|2|0.5|5.297|5.299|0.307|70
RS|S|6|3|0|2|0.5|-1.009|0.313|1.002|2
RS|S|8|3|1|1|0.6|-1.013|1.66|1.007|30
RS|S|0|4|0|1|0.3|-1.016|0.408|1.01|1
TS|D|9|5|1|3|1|1.492|1.496|0.695|49
TS|D|21|5|0|3|0.5|1.491|1.495|0.371|5
RS|S|14|6|1|0|0.6|-1.015|0.198|1.007|1
RS|S|17|6|0|2|0.5|-1.479|0.72|1.471|17
RS|S|16|2|0|1|0.3|5.03|5.044|0.923|20
TL|U|23|3|0|3|0.5|1.482|1.491|0.787|44
TL|U|13|4|1|0|0.6|-1.021|0.064|1.013|0
TL|U|5|5|0|3|0.5|-1.021|0.164|1.01|4
RS|S|18|6|0|1|0.3|-1.031|0.053|1.013|0
RS|S|4|4|0|1|0.3|-1.031|2.343|1.014|31
RS|S|16|4|0|2|0.5|-1.022|2.676|1.009|51
RS|S|6|6|0|1|0.3|-1.034|1.192|1.019|8
TL|U|2|2|0|1|0.3|-1.025|0.16|1.01|1
TL|U|20|2|0|0|0.3|1.546|1.56|0.12|7
TL|U|20|3|0|2|0.5|-1.02|0.007|1.01|3
TL|U|1|4|0|2|0.5|1.472|1.487|0.772|14
TL|U|5|6|0|2|0.5|-1.032|0.454|1.016|6
TL|U|6|2|0|1|0.3|1.475|1.487|0.097|3
TL|U|19|2|0|3|0.5|1.487|1.494|0.383|20
TL|U|2|3|0|2|0.5|1.468|1.481|0.387|8
RL|S|15|3|1|1|0.6|-1.005|3.237|1.002|767
TS|D|15|3|1|3|1|-1.017|0.021|1.009|29
TS|D|2|4|0|3|0.5|-1.023|0.542|1.012|13
TS|D|18|6|0|2|0.5|1.492|1.497|0.248|16
TS|D|23|1|0|1|0.3|1.489|1.499|0.437|0
TS|D|5|2|0|2|0.5|1.488|1.492|0.098|2
TS|D|0|3|0|3|0.5|-1.005|0.45|1.002|28
RS|S|22|3|0|0|0.3|-1.032|2.175|1.016|4
RS|S|0|4|0|2|0.5|-1.025|0.74|1.013|1
TS|D|5|5|0|3|0.5|1.486|1.493|0.074|1
TS|D|1|6|0|3|0.5|-1.01|0.068|1.005|3
RS|S|5|2|0|1|0.3|-1.022|0.383|1.008|2
RS|S|6|2|0|1|0.3|-1.016|0.652|1.008|18
RS|S|17|3|0|1|0.3|-1.028|0.098|1.018|1
RS|S|17|3|0|1|0.3|-1.02|0.034|1.01|4
RS|S|19|3|0|1|0.3|-1.027|0.198|1.009|1
TL|U|11|4|1|2|1|-1.019|0.037|1.011|2
TL|U|5|2|0|2|0.5|-1.017|0.183|1.009|3
TL|U|7|2|1|2|1|-1.009|0.641|1.003|36
RL|S|14|3|1|1|0.6|2.899|2.909|0.618|13
TL|U|17|3|0|2|0.5|-1.031|1.094|1.015|4
TL|U|19|3|0|1|0.3|1.467|1.484|0.484|1
RL|S|19|4|0|0|0.3|3.684|3.693|0.743|79
RL|S|23|1|0|1|0.3|7.889|7.903|0.254|95
TL|U|6|3|0|2|0.5|-1.024|0.856|1.012|14
TL|U|17|3|0|0|0.3|1.474|1.485|0.146|28
TL|U|13|4|1|1|0.6|-1.029|0.102|1.015|3
TL|U|15|2|1|1|0.6|1.472|1.485|0.989|23
RL|S|6|3|0|1|0.3|-1.023|1.034|1.007|25
RL|S|17|3|0|0|0.3|-1.016|0.03|1.008|2
RS|S|5|4|0|0|0.3|9.476|9.5|0.582|108
TS|D|2|6|0|1|0.3|1.456|1.482|0.947|2
TS|D|1|4|0|2|0.5|-1.028|0|1.013|0
RS|S|9|5|1|0|0.6|-1.024|0.046|1.012|2
RS|S|10|5|1|0|0.6|-1.028|5.215|1.014|105
TS|D|3|2|0|1|0.3|-1.057|0|1.027|0
TS|D|6|2|0|1|0.3|1.461|1.481|0.802|13
RS|S|0|4|0|0|0.3|-1.052|0.317|1.032|0
RS|S|1|4|0|0|0.3|-1.038|0.088|1.024|2
RS|S|2|4|0|0|0.3|-1.023|0.312|1.003|1
TL|U|0|5|0|1|0.3|-1.064|0.19|1.036|0
TL|U|2|5|0|2|0.5|-1.034|0.475|1.017|7
TL|U|1|6|0|2|0.5|-1.046|0.767|1.03|2
RL|S|0|2|0|1|0.3|-1.044|0.827|1.027|1
TL|U|22|2|0|3|0.5|1.433|1.45|0.454|3
RL|S|13|3|1|0|0.6|-1.02|0.704|1.007|4
TL|U|19|3|0|2|0.5|-1.025|0.805|1.011|19
TL|U|6|4|0|1|0.3|-1.04|0.451|1.02|2
RL|S|20|5|0|1|0.3|-1.043|1.445|1.023|10
RL|S|1|6|0|0|0.3|-1.022|1.062|1.003|15
RL|S|5|6|0|0|0.3|-1.03|0.084|1.013|0
TS|D|0|2|0|1|0.3|1.469|1.485|0.61|1
RS|S|23|2|0|0|0.3|5.936|5.963|0.525|18
TS|D|2|4|0|1|0.3|-1.019|0.329|1.01|17
TS|D|5|5|0|2|0.5|-1.025|0.3|1.012|3
TS|D|6|5|0|1|0.3|1.438|1.466|0.223|2
TS|D|16|5|0|2|0.5|-1.028|0.166|1.015|4
RS|S|17|5|0|1|0.3|-1.037|0.327|1.013|1
TS|D|1|6|0|1|0.3|-1.061|1.006|1.031|10
RS|S|23|1|0|0|0.3|9.029|9.057|0.725|130
RS|S|14|5|1|0|0.6|-1.028|0.06|1.015|4
RS|S|17|5|0|1|0.3|-1.026|0.968|1.013|28
RL|S|3|2|0|1|0.3|-1.036|0.328|1.016|0
TS|D|3|3|0|2|0.5|-1.033|0.174|1.017|3
RS|S|4|3|0|1|0.3|-1.051|0.102|1.029|1
RS|S|6|3|0|0|0.3|6.255|6.278|1.01|61
RS|S|3|5|0|1|0.3|-1.037|1.512|1.015|5
TS|D|22|5|0|1|0.3|1.434|1.462|0.651|4
TS|D|23|1|0|2|0.5|-1.04|0.193|1.021|2
TS|D|6|2|0|2|0.5|-1.034|0.46|1.016|2
TS|D|19|2|0|2|0.5|-1.025|1.157|1.011|37
TS|D|22|3|0|3|0.5|1.471|1.486|0.074|2
TS|D|17|4|0|3|0.5|-1.023|0.066|1.011|1
RS|S|18|5|0|0|0.3|-1.02|0|1.008|0
RS|S|15|6|1|1|0.6|-5.012|1.565|4.998|22
RS|S|11|2|1|1|0.6|-1.032|1.023|1.017|6
RS|S|14|2|1|0|0.6|2.727|2.74|0.483|24
RL|S|20|2|0|0|0.3|7.251|7.284|1.163|157
TS|D|19|5|0|2|0.5|1.475|1.487|0.759|23
TS|D|23|1|0|2|0.5|-1.023|0.007|1.011|0
TS|D|22|3|0|1|0.3|1.455|1.476|0.513|3
TS|D|3|4|0|2|0.5|-1.031|0.648|1.014|6
TS|D|0|5|0|3|0.5|-1.026|1.021|1.017|47
RS|S|16|5|0|0|0.3|6.247|6.27|0.448|37
TS|D|3|6|0|1|0.3|-1.033|0.433|1.017|5
RS|S|13|6|1|1|0.6|-1.02|0.373|1.01|2
RS|S|14|6|1|1|0.6|6.288|6.304|0.906|91
TS|D|18|2|0|1|0.3|1.453|1.477|0.19|3
TS|D|7|4|1|1|0.6|-1.036|0.093|1.021|2
RS|S|6|5|0|0|0.3|-1.037|0.676|1.019|10
