timestamp,high,low,close
1779660000,4555.5,4525.5,4553
1779660300,4559.9,4551.5,4557.1
1779660600,4560.4,4554.2,4557.6
1779660900,4558.7,4551,4554.3
1779661200,4557.8,4554,4556.5
1779661500,4557.5,4553.2,4553.9
1779661800,4563.2,4553.2,4560.8
1779662100,4561.6,4558.8,4560.1
1779662400,4560.7,4558.6,4560.5
1779662700,4567.8,4560.1,4567.2
1779663000,4567.5,4564.2,4564.2
1779663300,4567.6,4563.8,4567.1
1779663600,4571,4567,4570.6
1779663900,4576.5,4569.9,4574.7
1779664200,4578.8,4574.9,4576.7
1779664500,4579.8,4575.4,4576.2
1779664800,4580.4,4576,4578.9
1779665100,4580.3,4575.9,4577.1
1779665400,4581.1,4577.1,4580.2
1779665700,4581.4,4579.7,4581
1779666000,4582.7,4579,4579.1
1779666300,4580.3,4577.4,4579
1779666600,4578.9,4575.9,4577.1
1779666900,4577.1,4567.6,4569
1779667200,4573.5,4568.1,4570.9
1779667500,4576.4,4570,4575.3
1779667800,4578,4572.3,4574.6
1779668100,4575.4,4571.6,4573.3
1779668400,4576.8,4571.6,4576.6
1779668700,4577.7,4571.8,4574.4
1779669000,4576.7,4573.5,4575.8
1779669300,4577.6,4574.1,4577
1779669600,4576.7,4572.2,4573.4
1779669900,4581.6,4572.5,4578.5
1779670200,4579.5,4573.3,4575.4
1779670500,4576.4,4566.9,4570.8
1779670800,4578.1,4568.1,4570.1
1779671100,4571.2,4561.5,4563.1
1779671400,4568.1,4562.9,4566.9
1779671700,4567.7,4563.4,4567.7
1779672000,4574.4,4566.4,4572.6
1779672300,4576.7,4569.5,4574.6
1779672600,4576.1,4569.8,4570.1
1779672900,4573.1,4569.9,4571.3
1779673200,4572,4564,4564.5
1779673500,4566,4561.2,4564.6
1779673800,4568.2,4562.3,4567.4
1779674100,4567.6,4561.7,4563.5
1779674400,4566.3,4562.2,4563.3
1779674700,4569.3,4563,4568.5
1779675000,4568.9,4561.9,4562.8
1779675300,4563.3,4559.6,4562.6
1779675600,4564.4,4560.5,4563.3
1779675900,4563.9,4560.5,4563.7
1779676200,4566.3,4561.9,4564.4
1779676500,4566.3,4562.6,4565.9
1779676800,4570.7,4565.3,4570.7
1779677100,4571.1,4563.2,4564.4
1779677400,4565.7,4562.6,4562.6
1779677700,4563.6,4560,4562.1
1779678000,4565.3,4561.7,4563.5
1779678300,4564.4,4560.8,4563.8
1779678600,4564.4,4562.1,4563.8
1779678900,4564,4562.1,4562.6
1779679200,4565.2,4561.9,4561.9
1779679500,4562.7,4560.9,4561.1
1779679800,4563.1,4560,4562.6
1779680100,4565.1,4562.2,4563.4
1779680400,4563.4,4558.4,4559
1779680700,4559.8,4557.4,4559.1
1779681000,4560.8,4557.1,4560.5
1779681300,4562,4560,4560.2
1779681600,4562.7,4560,4561.9
1779681900,4562.7,4561.4,4562.2
1779682200,4563.3,4560.5,4561.5
1779682500,4562.8,4560.6,4561.7
1779682800,4565.3,4561.9,4564.6
1779683100,4566.7,4564.6,4565.8
1779683400,4566.3,4561.1,4561.6
1779683700,4563.3,4560.4,4562.9
1779684000,4564,4561.4,4563.4
1779684300,4565.5,4563,4565
1779684600,4566.7,4564.1,4565.1
1779684900,4566.7,4565,4566
1779685200,4567.3,4564,4566.8
1779685500,4567.2,4565.4,4566
1779685800,4566.4,4564,4564.8
1779686100,4564.9,4563.6,4564.3
1779686400,4564,4557.1,4557.9
1779686700,4558.4,4555.2,4555.3
1779687000,4560.9,4553.8,4558.6
1779687300,4561.7,4558.7,4560.9
1779687600,4561.9,4556.5,4558
1779687900,4559.1,4555.8,4556
1779688200,4556.4,4552.7,4555.1
1779688500,4556.6,4554,4554.6
1779688800,4557,4553.4,4554
1779689100,4554.7,4551.3,4553
1779689400,4555.6,4552.5,4554.9
1779689700,4556.5,4553.6,4555.5
1779690000,4557.8,4553,4557.6
1779690300,4558.4,4555,4555.2
1779690600,4557.1,4554.5,4556.3
1779690900,4558.5,4555.7,4556.3
1779691200,4558.2,4556,4557.4
1779691500,4560.3,4557.2,4558.7
1779691800,4560.3,4557.4,4559.5
1779692100,4564.2,4559.6,4563.4
1779692400,4565.8,4561.9,4564.8
1779692700,4565.5,4562.2,4563.1
1779693000,4565.3,4561.6,4561.6
1779693300,4562.1,4553.6,4556.4
1779693600,4557.2,4553.2,4557.1
1779693900,4558,4555.2,4555.7
1779694200,4563.2,4555.2,4560.2
1779694500,4561.3,4558.4,4560.1
1779694800,4562.4,4559.8,4561
1779695100,4563.6,4559.6,4563.6
1779695400,4566.7,4562.9,4565.2
1779695700,4566.7,4564.7,4566.1
1779696000,4566.6,4563.6,4564.3
1779696300,4564.6,4561.3,4563.2
1779696600,4563.6,4561.1,4562.4
1779696900,4562.5,4561.1,4562.4
1779697200,4562.6,4556.6,4556.8
1779697500,4557.6,4555.2,4556.1
1779697800,4559.3,4555.6,4558.4
1779698100,4559.4,4556.5,4557.5
1779698400,4558,4554.8,4556
1779698700,4556.8,4555,4555.9
1779699000,4558,4555.8,4557.4
1779699300,4558.2,4557,4557.5
1779699600,4560.3,4557.1,4558.9
1779699900,4558.8,4556.5,4556.6
1779700200,4558.8,4556.5,4556.8
1779700500,4559.1,4557,4558.1
1779700800,4558.1,4557,4558
1779701100,4560.6,4558,4560.4
1779701400,4566.9,4559.9,4566.7
1779701700,4567.4,4564.4,4566.2
1779702000,4567.7,4565.1,4567.3
1779702300,4568.3,4565.6,4567.9
1779702600,4570.5,4567.7,4568.9
1779702900,4570.7,4568.4,4569.1
1779703200,4571.7,4569.2,4570.5
1779703500,4572.7,4570.5,4572.7
1779703800,4574.3,4571.5,4573.4
1779704100,4575.4,4573,4574.7
1779704400,4574.6,4572.7,4574.2
1779704700,4574.2,4571.5,4572.7
1779705000,4574.9,4571.8,4574.3
1779705300,4574.4,4572.5,4572.7
1779705600,4572.8,4570.3,4572
1779705900,4574.1,4572,4572.1
1779706200,4572.5,4571.2,4571.9
1779706500,4572.2,4570.4,4570.6
1779706800,4570.8,4569.8,4570.4
1779707100,4570.7,4569.4,4570.3
1779707400,4574.4,4570.1,4574
1779707700,4577.5,4573.7,4576.7
1779708000,4577.1,4573.1,4573.9
1779708300,4573.8,4571.2,4573.8
1779708600,4576.6,4573.5,4575.1
1779708900,4578.2,4574.8,4577.9
1779709200,4578.2,4575.9,4576.5
1779709500,4579.3,4573,4573
1779709800,4574,4572.4,4572.5
1779710100,4573.2,4571.1,4571.3
1779710400,4571.5,4565.3,4566.5
1779710700,4566.4,4558.7,4562.1
1779711000,4563.2,4557.7,4558
1779711300,4558.6,4555.2,4555.5
1779711600,4559.1,4554.3,4557.6
1779711900,4562.4,4557.4,4561.9
1779712200,4565.7,4561.3,4565.7
1779712500,4572.1,4564.8,4570.4
1779712800,4571,4568,4568.3
1779713100,4570.2,4565.8,4568
1779713400,4569.1,4567.8,4568.7
1779713700,4570.5,4568.5,4569.3
1779714000,4569.5,4563.3,4566.2
1779714300,4573.2,4566,4570.2
1779714600,4570.3,4564.2,4565.9
1779714900,4566,4562.2,4563.8
1779715200,4566.3,4563.5,4564.9
1779715500,4565.4,4562.5,4563.4
1779715800,4566.2,4563.1,4565.9
1779716100,4567.5,4564.7,4566.1
1779716400,4567.3,4565.4,4566.7
1779716700,4567,4561.7,4563.4
1779717000,4565.3,4562.3,4565.1
1779717300,4566.6,4564.7,4564.9
1779717600,4569.1,4564,4568.8
1779717900,4571.6,4568.8,4571.5
1779718200,4571.7,4568.6,4569.4
1779718500,4570.7,4569,4570
1779718800,4572,4569.3,4571.8
1779719100,4572.4,4569,4569.6
1779719400,4570,4566.7,4569.5
1779719700,4570.2,4567.9,4568.9
1779720000,4570.2,4568,4568.6
1779720300,4570,4567.8,4569.9
1779720600,4570.5,4567.2,4567.4
1779720900,4568.9,4567,4568.4
1779721200,4570.9,4568.2,4569.6
1779721500,4569.7,4566.9,4568.3
1779721800,4575.5,4567.7,4571.8
1779722100,4572.8,4569.7,4572
1779722400,4575.2,4572.1,4574.8
1779722700,4576.7,4573.3,4575.2
1779723000,4575.5,4571.9,4572.8
1779723300,4573.1,4568.4,4570.6
1779723600,4571.4,4569.6,4570.7
1779723900,4572.3,4570.4,4572
1779724200,4574.2,4571.9,4573.6
1779724500,4574.7,4572.3,4572.7
1779724800,4573.1,4570.3,4571
1779725100,4571.9,4570.7,4571.1
1779725400,4572.6,4571.1,4572.5
1779725700,4572.7,4570.6,4570.6
1779726000,4572.2,4570.6,4571.5
1779726300,4572.1,4570.1,4570.1
1779726600,4572.1,4569.9,4572.1
1779726900,4573.2,4571.7,4572.9
1779727200,4574.5,4572.3,4574.2
1779727500,4575.2,4573.6,4575.1
1779727800,4576.6,4572.7,4573.1
1779728100,4576,4573,4575.6
1779728400,4578.9,4575.6,4578.2
1779728700,4578.5,4576.6,4578.2
1779729000,4580.6,4576.1,4576.7
1779729300,4577,4575.8,4576.2
1779729600,4576.3,4573.4,4573.8
1779729900,4574.2,4572.7,4573.8
1779730200,4574,4572.3,4572.4
1779730500,4572.4,4570.3,4570.4
1779730800,4570.8,4569.1,4569.6
1779731100,4569.2,4565.7,4567.8
1779731400,4568.4,4566.1,4567
1779731700,4568.3,4566.6,4567.9
1779732000,4571.8,4566.8,4571.4
1779732300,4574,4570.3,4572.6
1779732600,4573.1,4570.5,4571.5
1779732900,4572.7,4570.9,4571.1
1779733200,4573.3,4569.8,4570.2
1779733500,4573.5,4569.6,4573.5
1779746400,4574.9,4568.9,4573
1779746700,4574.7,4572.4,4574.3
1779747000,4575.9,4573.4,4575.3
1779747300,4577.3,4575.2,4575.6
1779747600,4577.1,4574.4,4577.1
1779747900,4577.3,4574.8,4574.8
1779748200,4574.8,4572.8,4572.9
