timestamp,high,low,close
1779660000,29775.5,29672,29746.5
1779660300,29780,29743.75,29768
1779660600,29777.75,29753.5,29772.25
1779660900,29787,29757.25,29778.75
1779661200,29782.5,29764.75,29772.5
1779661500,29783.25,29770.75,29775
1779661800,29808.25,29774.75,29794.5
1779662100,29803.5,29788.75,29795.25
1779662400,29815.25,29784.75,29803.25
1779662700,29823,29802.5,29818.75
1779663000,29825,29809.25,29813.5
1779663300,29814.5,29804,29808.25
1779663600,29826,29807.75,29818.5
1779663900,29831.75,29816.25,29821.5
1779664200,29827,29816.25,29823
1779664500,29825,29814.5,29817.25
1779664800,29821.25,29810.5,29812.25
1779665100,29818.5,29805.25,29811.25
1779665400,29865.25,29811.5,29850
1779665700,29882.5,29847,29866.25
1779666000,29867,29854,29857.75
1779666300,29866.25,29847.75,29847.75
1779666600,29849.75,29837.25,29845
1779666900,29846,29838.5,29844
1779667200,29858,29826.5,29843.5
1779667500,29872.5,29843.25,29866
1779667800,29872.75,29861,29870
1779668100,29875.5,29860,29869.25
1779668400,29890,29862.25,29886.75
1779668700,29892.5,29873.75,29885.75
1779669000,29900.25,29883.75,29891.25
1779669300,29918,29889.75,29910.25
1779669600,29922,29900,29913.25
1779669900,29935.5,29908,29928.5
1779670200,29931,29910.5,29916
1779670500,29917,29904.5,29915.25
1779670800,29930,29912,29917.75
1779671100,29920,29906.25,29913.25
1779671400,29924.25,29908.75,29923.25
1779671700,29926.5,29914.75,29918.75
1779672000,29930,29915.75,29925.25
1779672300,29928.25,29920,29927.25
1779672600,29946.5,29920.5,29940.25
1779672900,29948.75,29928.75,29933.25
1779673200,29936.5,29925.75,29932.75
1779673500,29935.25,29922.25,29925.25
1779673800,29930,29923.75,29926.5
1779674100,29932.75,29920.75,29924.25
1779674400,29926.75,29921,29921.75
1779674700,29935.25,29917,29926.75
1779675000,29932.75,29924.5,29924.75
1779675300,29925.25,29907.5,29918
1779675600,29922,29910.25,29917.5
1779675900,29918,29906.5,29914.25
1779676200,29917.25,29907.75,29908.75
1779676500,29913,29905.75,29908
1779676800,29915.75,29902.75,29915.5
1779677100,29945.75,29914.5,29937
1779677400,29945,29936,29938.25
1779677700,29961.5,29937.25,29957
1779678000,29983.75,29956.75,29971.75
1779678300,29989,29964.75,29975.25
1779678600,29979,29961,29965.5
1779678900,29969.75,29959,29963.25
1779679200,29982.5,29958,29958.75
1779679500,29967,29953.25,29966.25
1779679800,29972,29962.75,29964.75
1779680100,29975.25,29964.5,29968.5
1779680400,29974.5,29965.75,29966.5
1779680700,29966.5,29955.5,29960.75
1779681000,29965.5,29957,29962
1779681300,29971,29957.75,29962.75
1779681600,29977,29962,29972
1779681900,29976.5,29969.25,29970.75
1779682200,29973.75,29964,29966.5
1779682500,29968.75,29961.75,29966
1779682800,29973.25,29965.5,29968
1779683100,29972.5,29967.5,29970.5
1779683400,29970.25,29959,29965.5
1779683700,29969.25,29961.75,29964.25
1779684000,29972.5,29963.75,29971.5
1779684300,29976.5,29970.75,29975
1779684600,29986.75,29974.5,29978
1779684900,29981.75,29972.75,29974.75
1779685200,29988,29973.75,29985
1779685500,29990.75,29980.75,29983.75
1779685800,29988.5,29980.25,29986.25
1779686100,29995,29983.5,29991.25
1779686400,29992.5,29977,29979.25
1779686700,29984.5,29978.25,29983
1779687000,29984.5,29978.25,29982.25
1779687300,29991.5,29982.25,29986.5
1779687600,29994,29984.75,29991.5
1779687900,29992.5,29982.25,29986.5
1779688200,29986.5,29973.75,29980.75
1779688500,29982.25,29967.75,29969.5
1779688800,29981,29963.5,29965
1779689100,29973.5,29963.25,29968.25
1779689400,29975.5,29965.5,29970.25
1779689700,29971.25,29954.5,29957
1779690000,29961.25,29948,29959.75
1779690300,29970,29957.25,29968.25
1779690600,29973.5,29959.25,29970.5
1779690900,29979.75,29968.5,29974.25
1779691200,29975.75,29966.5,29967.75
1779691500,29978.25,29963.5,29975.75
1779691800,29980.25,29973,29976.25
1779692100,29985.5,29967,29967
1779692400,29973.5,29960.25,29965.75
1779692700,29972.25,29960.5,29968
1779693000,29967,29940.5,29941
1779693300,29950.25,29895.25,29898.75
1779693600,29933.75,29888.75,29929.5
1779693900,29931.25,29921.75,29929.5
1779694200,29987.25,29927,29967.25
1779694500,29971.5,29952.25,29957.75
1779694800,29971,29951,29965.5
1779695100,29970.75,29955.25,29964.25
1779695400,29968.25,29959.25,29968.25
1779695700,29976.5,29965.5,29972
1779696000,29974.75,29942.25,29948.25
1779696300,29956.75,29942,29954.75
1779696600,29958,29938.5,29940.5
1779696900,29941.5,29929.5,29939.75
1779697200,29942,29933.25,29939
1779697500,29945.5,29926,29933
1779697800,29951.25,29927.5,29946.5
1779698100,29950.25,29941.5,29949.25
1779698400,29957,29949,29953.25
1779698700,29962,29953.25,29960.5
1779699000,29963.5,29957.75,29961
1779699300,29964.25,29957.5,29962.75
1779699600,29976.5,29962,29973
1779699900,29977,29969.5,29970
1779700200,29976.25,29965.25,29965.5
1779700500,29970.25,29962.5,29969.5
